match_id,comerce,geometry,nonzero,x,y,category,comerce_ratio,way,length,exposed,outcome
7,79,"MULTILINESTRING ((-58.4217796776941 -34.5977344041324, -58.4215169230671 -34.5964311246603), (-58.4215169230671 -34.5964311246603, -58.4213020020262 -34.5953653294625), (-58.4205455930777 -34.5915776802444, -58.4202444939368 -34.5900671966493), (-58.420784355503 -34.5927777837524, -58.4205455930777 -34.5915776802444), (-58.4213020020262 -34.5953653294625, -58.42109515618 -34.5943398188446, -58.4210600748829 -34.5941633249385), (-58.4210600748829 -34.5941633249385, -58.420784355503 -34.5927777837524))",1,-58.421009876696594,-34.593901243128535,0.0,9.163138664965492,0.0,862.1500000000003,1,12
8,25,"MULTILINESTRING ((-58.5002343645042 -34.5652914745357, -58.5009973715743 -34.5648991907275), (-58.5021019956757 -34.5643312973221, -58.5026625149382 -34.5640430835527), (-58.5009973715743 -34.5648991907275, -58.5015806224358 -34.5645992845384), (-58.5015806224358 -34.5645992845384, -58.5021019956757 -34.5643312973221))",0,-58.50144843975898,-34.56466727911615,0.0,9.528891599329166,0.0,262.36,0,0
8,29,"MULTILINESTRING ((-58.397871473128 -34.6345067870116, -58.3974351141626 -34.6356481123224), (-58.398298429031 -34.6333901030362, -58.397871473128 -34.6345067870116))",1,-58.397866767633545,-34.634519106164014,0.0,11.038788017205285,0.0,262.71,1,4
9,1,"MULTILINESTRING ((-58.4150561214182 -34.574570906523, -58.415115985371 -34.5744121753278, -58.4154392088364 -34.574049760148, -58.415529789543 -34.5738938423865), (-58.4166232129692 -34.5741762737372, -58.4160817904068 -34.574324724841, -58.4158374386508 -34.5743360508406, -58.4156414162794 -34.5742548835033, -58.4155850952442 -34.5741697159923, -58.4155728931118 -34.5740784838907, -58.415529789543 -34.5738938423865), (-58.415529789543 -34.5738938423865, -58.4156239700284 -34.5737317275847, -58.4156586539077 -34.5735250468984, -58.4156626556566 -34.57322602845, -58.4154918613415 -34.5729438433955))",0,-58.415685977154354,-34.573970437004405,1.0,0.2979648997348112,0.0,335.61,0,0
9,0,"LINESTRING (-58.3836966805096 -34.6333438411123, -58.3837385244306 -34.6334211931089, -58.3856139768909 -34.6359196089157)",1,-58.38465000245704,-34.634635138191875,1.0,0.0,1.0,335.58,1,2
10,334,"MULTILINESTRING ((-58.473684819195 -34.5761078966996, -58.4737920807695 -34.5759866879808, -58.474453434984 -34.5752381639916), (-58.474453434984 -34.5752381639916, -58.4752418688036 -34.5743457478787), (-58.4752418688036 -34.5743457478787, -58.475926605912 -34.5735707340179, -58.4760259445937 -34.5734588200652), (-58.4790549226076 -34.5700439611164, -58.4799091371313 -34.5690799548262), (-58.4807492035757 -34.5681330574633, -58.4815871232829 -34.5671888306085), (-58.4775796623745 -34.5717089652049, -58.4784088012884 -34.5707732830398), (-58.4784088012884 -34.5707732830398, -58.4790549226076 -34.5700439611164), (-58.4760259445937 -34.5734588200652, -58.4768092382994 -34.5725768168504), (-58.4768092382994 -34.5725768168504, -58.4774653468311 -34.5718379952142, -58.4775796623745 -34.5717089652049), (-58.4844532115397 -34.5640650619812, -58.4853833994305 -34.5630752280638), (-58.4853833994305 -34.5630752280638, -58.485800913029 -34.5626309872803), (-58.485800913029 -34.5626309872803, -58.486220805005 -34.5621841389002), (-58.486220805005 -34.5621841389002, -58.4871741705687 -34.5608277293453), (-58.4827650301683 -34.5658613670111, -58.4835923638422 -34.5649810023347), (-58.4835923638422 -34.5649810023347, -58.4844532115397 -34.5640650619812), (-58.4815871232829 -34.5671888306085, -58.4824247687083 -34.5662448091735), (-58.4824247687083 -34.5662448091735, -58.4827650301683 -34.5658613670111))",1,-58.480472202578184,-34.56848283908808,0.0,16.95526146129987,0.0,1969.89,0,8
10,254,"MULTILINESTRING ((-58.4114639900054 -34.6130368070418, -58.4131186853245 -34.6134155320471), (-58.4100735089779 -34.6126920488249, -58.4114639900054 -34.6130368070418), (-58.4087157458245 -34.6126101802176, -58.4100735089779 -34.6126920488249), (-58.4043528806135 -34.6123489918453, -58.4053368938235 -34.6124065063346, -58.4055698441332 -34.6124205606353), (-58.4032431525053 -34.6122840835581, -58.4043528806135 -34.6123489918453), (-58.4069441248623 -34.6125033873895, -58.4087157458245 -34.6126101802176), (-58.4055698441332 -34.6124205606353, -58.4069441248623 -34.6125033873895), (-58.3989659550731 -34.6119832371206, -58.3992114216751 -34.6120004792177, -58.4003197672193 -34.6120823250971), (-58.397439246556 -34.6118723506118, -58.3976200638368 -34.6118889271824, -58.3989659550731 -34.6119832371206), (-58.3917979672137 -34.611498676934, -58.3920923977434 -34.6115271593734, -58.3931404389317 -34.6115924153203, -58.3933069505877 -34.6116024406723), (-58.3933069505877 -34.6116024406723, -58.3945154600271 -34.6116753824987, -58.3947719983205 -34.6116919355345), (-58.3961681401731 -34.611782783378, -58.3972450574916 -34.6118546397585, -58.397439246556 -34.6118723506118), (-58.3947719983205 -34.6116919355345, -58.3959447337258 -34.6117678713137, -58.3961681401731 -34.611782783378), (-58.4015520358498 -34.6121800689729, -58.40186189305 -34.6122033243053, -58.4032431525053 -34.6122840835581), (-58.4003197672193 -34.6120823250971, -58.4004890045396 -34.6120948068757, -58.4013790507702 -34.6121670938024, -58.4015520358498 -34.6121800689729))",1,-58.402490483947716,-34.612250095298435,0.0,12.87927957163719,0.0,1972.16,1,16
11,204,"MULTILINESTRING ((-58.4477970158005 -34.5666786418352, -58.4489539802031 -34.5659611625121), (-58.4489539802031 -34.5659611625121, -58.4491662314999 -34.5658295647669, -58.4494715663985 -34.5654714231274), (-58.4494715663985 -34.5654714231274, -58.4498165763351 -34.5650668756523), (-58.4514148000784 -34.5631967198927, -58.4522299328349 -34.5622508605189), (-58.4522299328349 -34.5622508605189, -58.453041215972 -34.5613092910986), (-58.4498165763351 -34.5650668756523, -58.4506104611627 -34.5641358140885), (-58.4506104611627 -34.5641358140885, -58.4510695507994 -34.5635973282403, -58.4514148000784 -34.5631967198927), (-58.4546778593593 -34.5594116292712, -58.4553335515246 -34.5586514455956, -58.4554789564927 -34.5584838456124), (-58.4554789564927 -34.5584838456124, -58.4562829298942 -34.5575569018088), (-58.4586718444204 -34.5548079390491, -58.4587923798515 -34.5546694192443, -58.4594730234917 -34.5538763255725), (-58.4578862262381 -34.5557106739164, -58.4586718444204 -34.5548079390491), (-58.4562829298942 -34.5575569018088, -58.4571011017953 -34.5566135444667), (-58.4571011017953 -34.5566135444667, -58.4572424986924 -34.5564504492675, -58.4578862262381 -34.5557106739164), (-58.453041215972 -34.5613092910986, -58.4534196495887 -34.5608700873143, -58.4538374969093 -34.5603857435445), (-58.4538374969093 -34.5603857435445, -58.4546778593593 -34.5594116292712))",1,-58.453771230160505,-34.560439231417625,0.0,11.422748066811875,0.0,1785.91,0,6
11,183,"MULTILINESTRING ((-58.3903674401968 -34.611388955463, -58.3915399041526 -34.6114737363541, -58.3917979672137 -34.611498676934), (-58.3889428732769 -34.6112859815055, -58.3903674401968 -34.611388955463), (-58.3874820272835 -34.611180362706, -58.3889428732769 -34.6112859815055), (-58.3813865998622 -34.6107940505286, -58.3818648353063 -34.6108313154739), (-58.3810486589821 -34.6107640167773, -58.3813865998622 -34.6107940505286), (-58.3833673333375 -34.6109219582011, -58.3848197590873 -34.611004240256), (-58.3818648353063 -34.6108313154739, -58.382102797742 -34.6108503475698, -58.3833673333375 -34.6109219582011), (-58.3861579650492 -34.6110883342876, -58.3863227730774 -34.6110964666601, -58.3874820272835 -34.611180362706), (-58.3848197590873 -34.611004240256, -58.3849717899738 -34.611012859198, -58.3858495570442 -34.611072997845, -58.3861579650492 -34.6110883342876), (-58.374968321052 -34.6103551025003, -58.3753363339707 -34.6103828335455, -58.3762678248183 -34.6104508264305), (-58.3706572504358 -34.6100588730049, -58.3720573464766 -34.6101452813746), (-58.3696157753927 -34.6099835093278, -58.3706572504358 -34.6100588730049), (-58.3694643720776 -34.609909397057, -58.3696157753927 -34.6099835093278), (-58.3777023348409 -34.6105463496208, -58.3790493860005 -34.6106289080845, -58.3791243357789 -34.6106335373448), (-58.3762678248183 -34.6104508264305, -58.3765136221664 -34.6104687482403, -58.3775160679793 -34.6105348806141, -58.3777023348409 -34.6105463496208), (-58.3805971805196 -34.6107298276008, -58.3810486589821 -34.6107640167773), (-58.3791243357789 -34.6106335373448, -58.37928701083 -34.6106436496068, -58.3803745491142 -34.6107120706124, -58.3805971805196 -34.6107298276008))",1,-58.38168822086385,-34.61080337500171,0.0,10.224891744657077,0.0,1789.7499999999993,1,10
12,3,"MULTILINESTRING ((-58.4947588879746 -34.6358681094149, -58.4953956607718 -34.6353687133501), (-58.4997047058446 -34.6319492021616, -58.4999759238713 -34.6317756257499), (-58.4953956607718 -34.6353687133501, -58.4963095859765 -34.6346628991843), (-58.4963095859765 -34.6346628991843, -58.4971601210466 -34.633990758012))",0,-58.496331252119376,-34.634637577901465,1.0,0.8967805577975071,1.0,334.53,0,0
